node	MCF10A_1		MCF10A_2		MCF10A_3		MCF10A_4		MDA-MB-231_1		MDA-MB-231_2		MDA-MB-231_3		MDA-MB-231_4
EIF2AK2:PDGFB:PDGFRB:	0	EIF2AK2:PDGFB:PDGFRB:	0	EIF2AK2:PDGFB:PDGFRB:	0	EIF2AK2:PDGFB:PDGFRB:	0	EIF2AK2:PDGFB:PDGFRB:	0.176776695	EIF2AK2:PDGFB:PDGFRB:	0.176776695	EIF2AK2:PDGFB:PDGFRB:	0.176776695	EIF2AK2:PDGFB:PDGFRB:	0.176776695
SERPINA1:	0.035622422	SERPINA1:	0.039097811	SERPINA1:	0.08149625	SERPINA1:	0.075532376	SERPINA1:	0.582204931	SERPINA1:	0.534467566	SERPINA1:	0.575706048	SERPINA1:	0.535261233
MAP2K6:	0.699174895	MAP2K6:	0.699174895	MAP2K6:	0.699174895	MAP2K6:	0.699174895	MAP2K6:	0.079056942	MAP2K6:	0.079056942	MAP2K6:	0.079056942	MAP2K6:	0.079056942
ELK1:	0.5	ELK1:	0.5	ELK1:	0	ELK1:	0	ELK1:	0.144337567	ELK1:	0.644337567	ELK1:	0.144337567	ELK1:	0.644337567
TRIOBP:	0.535622422	TRIOBP:	0.539097811	TRIOBP:	0.58149625	TRIOBP:	0.575532376	TRIOBP:	0.082204931	TRIOBP:	0.034467566	TRIOBP:	0.075706048	TRIOBP:	0.035261233
XIAP:	0.035622422	XIAP:	0.539097811	XIAP:	0.58149625	XIAP:	0.575532376	XIAP:	0.082204931	XIAP:	0.034467566	XIAP:	0.575706048	XIAP:	0.035261233
ERBB3:	0.636424267	ERBB3:	0.663073616	ERBB3:	0.651498767	ERBB3:	0.662600641	ERBB3:	0.051642151	ERBB3:	0.050624656	ERBB3:	0.062670322	ERBB3:	0.071827589
FOXM1:	0.139580536	FOXM1:	0.324805264	FOXM1:	0.165648909	FOXM1:	0.300349955	FOXM1:	0.78755579	FOXM1:	0.947602692	FOXM1:	0.801511666	FOXM1:	0.974848731
FDPS:	0.251457419	FDPS:	0.986252598	FDPS:	0.502323324	FDPS:	0.986549131	FDPS:	0.083626635	FDPS:	0.598615775	FDPS:	0.427115061	FDPS:	0.131204239
RHOA:	0.265680318	RHOA:	1.025469645	RHOA:	0.35437481	RHOA:	1.025574486	RHOA:	0.52956648	RHOA:	0.211642637	RHOA:	0.651007978	RHOA:	0.046387704
FMR1:	0	FMR1:	0	FMR1:	0	FMR1:	0	FMR1:	0.5	FMR1:	0.5	FMR1:	0.5	FMR1:	0.5
SIRT1:	0.650885469	SIRT1:	0.307610357	SIRT1:	0.651719672	SIRT1:	0.273719165	SIRT1:	0.685978519	SIRT1:	0.270225951	SIRT1:	0.686231327	SIRT1:	0.312423098
ATF3:	0.030930898	ATF3:	0.162898138	ATF3:	0.127990851	ATF3:	0.158159736	ATF3:	0.681440475	ATF3:	0.649848026	ATF3:	0.624610536	ATF3:	0.661757841
ICAM1:	0.065179747	ICAM1:	0.173766747	ICAM1:	0.158492248	ICAM1:	0.146989414	ICAM1:	0.743214433	ICAM1:	0.60949955	ICAM1:	0.694894925	ICAM1:	0.667384722
SNAP29:	0.525501274	SNAP29:	0.64665431	SNAP29:	0.63958103	SNAP29:	0.631622427	SNAP29:	0.217097786	SNAP29:	0.114739316	SNAP29:	0.139399211	SNAP29:	0.129811415
TGFB1:	0.59093442	TGFB1:	0.784913607	TGFB1:	0.681085591	TGFB1:	0.767287017	TGFB1:	0.298776243	TGFB1:	0.149344431	TGFB1:	0.196000835	TGFB1:	0.265496425
TAB1:	0.5	TAB1:	0.5	TAB1:	0.5	TAB1:	0.5	TAB1:	0	TAB1:	0	TAB1:	0	TAB1:	0
EVL:	0.5	EVL:	0.5	EVL:	0.5	EVL:	0.5	EVL:	0	EVL:	0	EVL:	0	EVL:	0
RFWD2:	0.5	RFWD2:	0.5	RFWD2:	0.5	RFWD2:	0.5	RFWD2:	0	RFWD2:	0	RFWD2:	0	RFWD2:	0
TAOK:	0	TAOK:	0	TAOK:	0	TAOK:	0	TAOK:	0	TAOK:	0	TAOK:	0	TAOK:	0
TARDBP:	0	TARDBP:	0.5	TARDBP:	0	TARDBP:	0.5	TARDBP:	0	TARDBP:	0.5	TARDBP:	0	TARDBP:	0.5
BUB1:	0.087051935	BUB1:	0.113108338	BUB1:	0.062948379	BUB1:	0.116235684	BUB1:	0.594678392	BUB1:	0.670050746	BUB1:	0.594111367	BUB1:	0.633632674
CDC20:	0.015605578	CDC20:	0.036314333	CDC20:	0.018520111	CDC20:	0.033580146	CDC20:	0.588051414	CDC20:	0.605945202	CDC20:	0.589611729	CDC20:	0.608991401
CABLES2:	0.116931175	CABLES2:	0.075876609	CABLES2:	0.049084313	CABLES2:	0.075696748	CABLES2:	0.536438577	CABLES2:	0.591413534	CABLES2:	0.536567242	CABLES2:	0.523518461
CKAP5:	0.023933585	CKAP5:	0.084875992	CKAP5:	0.042387854	CKAP5:	0.088833374	CKAP5:	0.59019091	CKAP5:	0.643629649	CKAP5:	0.589405469	CKAP5:	0.647035868
FGF13:	0.523933585	FGF13:	0.584875992	FGF13:	0.542387854	FGF13:	0.588833374	FGF13:	0.09019091	FGF13:	0.143629649	FGF13:	0.089405469	FGF13:	0.147035868
HMGA2:	0.523933585	HMGA2:	0.584875992	HMGA2:	0.542387854	HMGA2:	0.588833374	HMGA2:	0.09019091	HMGA2:	0.143629649	HMGA2:	0.089405469	HMGA2:	0.147035868
HMGB2:	0.087051935	HMGB2:	0.113108338	HMGB2:	0.062948379	HMGB2:	0.116235684	HMGB2:	0.594678392	HMGB2:	0.670050746	HMGB2:	0.594111367	HMGB2:	0.633632674
KAT2A:	0.087051935	KAT2A:	0.113108338	KAT2A:	0.062948379	KAT2A:	0.116235684	KAT2A:	0.594678392	KAT2A:	0.670050746	KAT2A:	0.594111367	KAT2A:	0.633632674
TGFA:	0.116931175	TGFA:	0.075876609	TGFA:	0.049084313	TGFA:	0.075696748	TGFA:	0.536438577	TGFA:	0.591413534	TGFA:	0.536567242	TGFA:	0.523518461
LIMK2:	0.523933585	LIMK2:	0.584875992	LIMK2:	0.542387854	LIMK2:	0.588833374	LIMK2:	0.09019091	LIMK2:	0.143629649	LIMK2:	0.089405469	LIMK2:	0.147035868
MAD2L2:	0.015605578	MAD2L2:	0.036314333	MAD2L2:	0.018520111	MAD2L2:	0.033580146	MAD2L2:	0.588051414	MAD2L2:	0.605945202	MAD2L2:	0.589611729	MAD2L2:	0.608991401
ROCK1:	0.587051935	ROCK1:	0.613108338	ROCK1:	0.562948379	ROCK1:	0.616235684	ROCK1:	0.094678392	ROCK1:	0.170050746	ROCK1:	0.094111367	ROCK1:	0.133632674
S100A2:	0.587051935	S100A2:	0.613108338	S100A2:	0.562948379	S100A2:	0.616235684	S100A2:	0.094678392	S100A2:	0.170050746	S100A2:	0.094111367	S100A2:	0.133632674
ITGB8:	0.5	ITGB8:	0.5	ITGB8:	0.5	ITGB8:	0.5	ITGB8:	0	ITGB8:	0	ITGB8:	0	ITGB8:	0
SNRPA:	0.023933585	SNRPA:	0.084875992	SNRPA:	0.042387854	SNRPA:	0.088833374	SNRPA:	0.59019091	SNRPA:	0.643629649	SNRPA:	0.589405469	SNRPA:	0.647035868
SRPK1:	0.087051935	SRPK1:	0.113108338	SRPK1:	0.062948379	SRPK1:	0.116235684	SRPK1:	0.594678392	SRPK1:	0.670050746	SRPK1:	0.594111367	SRPK1:	0.633632674
TACC1:	0.515605578	TACC1:	0.536314333	TACC1:	0.518520111	TACC1:	0.533580146	TACC1:	0.088051414	TACC1:	0.105945202	TACC1:	0.089611729	TACC1:	0.108991401
TAF1B:	0.087051935	TAF1B:	0.113108338	TAF1B:	0.062948379	TAF1B:	0.116235684	TAF1B:	0.594678392	TAF1B:	0.670050746	TAF1B:	0.594111367	TAF1B:	0.633632674
PTPRA:	0.5	PTPRA:	0.5	PTPRA:	0.5	PTPRA:	0.5	PTPRA:	0	PTPRA:	0	PTPRA:	0	PTPRA:	0
TPR:	0.587051935	TPR:	0.613108338	TPR:	0.562948379	TPR:	0.616235684	TPR:	0.094678392	TPR:	0.170050746	TPR:	0.094111367	TPR:	0.133632674
CXXC5:	0.535622422	CXXC5:	0.539097811	CXXC5:	0.58149625	CXXC5:	0.575532376	CXXC5:	0.082204931	CXXC5:	0.034467566	CXXC5:	0.075706048	CXXC5:	0.035261233
DNAJB2:	0.535622422	DNAJB2:	0.539097811	DNAJB2:	0.58149625	DNAJB2:	0.575532376	DNAJB2:	0.082204931	DNAJB2:	0.034467566	DNAJB2:	0.075706048	DNAJB2:	0.035261233
TP53:SMAD2:	0.046637411	TP53:SMAD2:	0.060083124	TP53:SMAD2:	0.074346376	TP53:SMAD2:	0.069572198	TP53:SMAD2:	0.176052312	TP53:SMAD2:	0.155704809	TP53:SMAD2:	0.167681967	TP53:SMAD2:	0.198535652
FBLN1:	0.535622422	FBLN1:	0.539097811	FBLN1:	0.58149625	FBLN1:	0.575532376	FBLN1:	0.082204931	FBLN1:	0.034467566	FBLN1:	0.075706048	FBLN1:	0.035261233
VDR:	0.546637411	VDR:	0.560083124	VDR:	0.074346376	VDR:	0.569572198	VDR:	0.176052312	VDR:	0.655704809	VDR:	0.167681967	VDR:	0.198535652
FYN:	0.035622422	FYN:	0.039097811	FYN:	0.08149625	FYN:	0.075532376	FYN:	0.582204931	FYN:	0.534467566	FYN:	0.575706048	FYN:	0.535261233
TP63:	0	TP63:	0	TP63:	0	TP63:	0	TP63:	0	TP63:	0	TP63:	0	TP63:	0
HUWE1:	0.035622422	HUWE1:	0.039097811	HUWE1:	0.08149625	HUWE1:	0.075532376	HUWE1:	0.582204931	HUWE1:	0.534467566	HUWE1:	0.575706048	HUWE1:	0.535261233
CCNG2:	0.5	CCNG2:	0.5	CCNG2:	0.5	CCNG2:	0.5	CCNG2:	0	CCNG2:	0	CCNG2:	0	CCNG2:	0
LRP1:	0.535622422	LRP1:	0.539097811	LRP1:	0.58149625	LRP1:	0.575532376	LRP1:	0.082204931	LRP1:	0.034467566	LRP1:	0.075706048	LRP1:	0.035261233
WNT5A:	0.5	WNT5A:	0.5	WNT5A:	0.5	WNT5A:	0.5	WNT5A:	0	WNT5A:	0	WNT5A:	0	WNT5A:	0
LTBP3:	0.535622422	LTBP3:	0.539097811	LTBP3:	0.58149625	LTBP3:	0.575532376	LTBP3:	0.082204931	LTBP3:	0.034467566	LTBP3:	0.075706048	LTBP3:	0.035261233
MAPK13:	0.107366389	MAPK13:	0.10892063	MAPK13:	0.177881788	MAPK13:	0.125214663	MAPK13:	0.685267134	MAPK13:	0.663918335	MAPK13:	0.682360745	MAPK13:	0.614273274
UBE2:	0.017811211	UBE2:	0.269548906	UBE2:	0.290748125	UBE2:	0.287766188	UBE2:	0.041102466	UBE2:	0.017233783	UBE2:	0.287853024	UBE2:	0.017630617
MAPT:	0.535622422	MAPT:	0.539097811	MAPT:	0.58149625	MAPT:	0.575532376	MAPT:	0.082204931	MAPT:	0.034467566	MAPT:	0.075706048	MAPT:	0.035261233
MOCOS:	0.035622422	MOCOS:	0.039097811	MOCOS:	0.08149625	MOCOS:	0.075532376	MOCOS:	0.582204931	MOCOS:	0.534467566	MOCOS:	0.575706048	MOCOS:	0.535261233
USP22:	0.5	USP22:	0.5	USP22:	0.5	USP22:	0.5	USP22:	0	USP22:	0	USP22:	0	USP22:	0
PIAS3:	0.535622422	PIAS3:	0.539097811	PIAS3:	0.58149625	PIAS3:	0.575532376	PIAS3:	0.082204931	PIAS3:	0.034467566	PIAS3:	0.075706048	PIAS3:	0.035261233
WNT:	0.273318706	WNT:	0.280041562	WNT:	0.037173188	WNT:	0.284786099	WNT:	0.088026156	WNT:	0.327852404	WNT:	0.083840984	WNT:	0.099267826
RASGRF1:	0.035622422	RASGRF1:	0.039097811	RASGRF1:	0.08149625	RASGRF1:	0.075532376	RASGRF1:	0.582204931	RASGRF1:	0.534467566	RASGRF1:	0.575706048	RASGRF1:	0.535261233
RRM2B:	0.535622422	RRM2B:	0.539097811	RRM2B:	0.58149625	RRM2B:	0.575532376	RRM2B:	0.082204931	RRM2B:	0.034467566	RRM2B:	0.075706048	RRM2B:	0.035261233
SH3YL1:	0.535622422	SH3YL1:	0.539097811	SH3YL1:	0.58149625	SH3YL1:	0.575532376	SH3YL1:	0.082204931	SH3YL1:	0.034467566	SH3YL1:	0.075706048	SH3YL1:	0.035261233
YWHAZ:	0	YWHAZ:	0.5	YWHAZ:	0	YWHAZ:	0.5	YWHAZ:	0	YWHAZ:	0.5	YWHAZ:	0	YWHAZ:	0.5
SHC1:	0.535622422	SHC1:	0.539097811	SHC1:	0.58149625	SHC1:	0.575532376	SHC1:	0.082204931	SHC1:	0.034467566	SHC1:	0.075706048	SHC1:	0.035261233
PAG1:	0.18247245	PAG1:	0.179831343	PAG1:	0.20084666	PAG1:	0.179831343	PAG1:	0.521664997	PAG1:	0.524306104	PAG1:	0.504961169	PAG1:	0.522635721
SKIL:	0.535622422	SKIL:	0.539097811	SKIL:	0.58149625	SKIL:	0.575532376	SKIL:	0.082204931	SKIL:	0.034467566	SKIL:	0.075706048	SKIL:	0.035261233
TNK2:	0.68247245	TNK2:	0.679831343	TNK2:	0.70084666	TNK2:	0.679831343	TNK2:	0.021664997	TNK2:	0.024306104	TNK2:	0.004961169	TNK2:	0.022635721
TAF12:	0.535622422	TAF12:	0.539097811	TAF12:	0.58149625	TAF12:	0.575532376	TAF12:	0.082204931	TAF12:	0.034467566	TAF12:	0.075706048	TAF12:	0.035261233
NDC80:	0	NDC80:	0	NDC80:	0	NDC80:	0	NDC80:	0.5	NDC80:	0.5	NDC80:	0.5	NDC80:	0.5
TBL1X:	0.035622422	TBL1X:	0.039097811	TBL1X:	0.08149625	TBL1X:	0.075532376	TBL1X:	0.582204931	TBL1X:	0.534467566	TBL1X:	0.575706048	TBL1X:	0.535261233
NUF2:	0	NUF2:	0	NUF2:	0	NUF2:	0	NUF2:	0.5	NUF2:	0.5	NUF2:	0.5	NUF2:	0.5
MAP3K1:	0.130926824	MAP3K1:	0.156649894	MAP3K1:	0.134993999	MAP3K1:	0.156649894	MAP3K1:	0.517527523	MAP3K1:	0.543250593	MAP3K1:	0.517527523	MAP3K1:	0.539183419
OGT:	0.630926824	OGT:	0.156649894	OGT:	0.634993999	OGT:	0.156649894	OGT:	0.517527523	OGT:	0.043250593	OGT:	0.517527523	OGT:	0.039183419
TOP2A:	0	TOP2A:	0	TOP2A:	0	TOP2A:	0	TOP2A:	0.5	TOP2A:	0.5	TOP2A:	0.5	TOP2A:	0.5
TPX2:	0	TPX2:	0	TPX2:	0	TPX2:	0	TPX2:	0.5	TPX2:	0.5	TPX2:	0.5	TPX2:	0.5
MAP3K4:	0.5	MAP3K4:	0.5	MAP3K4:	0.5	MAP3K4:	0.5	MAP3K4:	0	MAP3K4:	0	MAP3K4:	0	MAP3K4:	0
RICTOR:	0.5	RICTOR:	0	RICTOR:	0	RICTOR:	0	RICTOR:	0.5	RICTOR:	0	RICTOR:	0.5	RICTOR:	0.5
SNAI1:	0.250105677	SNAI1:	0.874321624	SNAI1:	0.308227793	SNAI1:	0.869592002	SNAI1:	0.718199855	SNAI1:	0.163185932	SNAI1:	0.221274964	SNAI1:	0.709449722
HIPK2:	0.754863676	HIPK2:	0.754863676	HIPK2:	0.506290037	HIPK2:	0.754863676	HIPK2:	0.023050845	HIPK2:	0.273050845	HIPK2:	0.023050845	HIPK2:	0.021624484
PPM1D:	0.551770937	PPM1D:	0.615220713	PPM1D:	0.553439344	PPM1D:	0.547438331	PPM1D:	0.121957038	PPM1D:	0.040451902	PPM1D:	0.122462653	PPM1D:	0.124846195
HMGCR:	0.023318706	HMGCR:	0.780041562	HMGCR:	0.037173188	HMGCR:	0.784786099	HMGCR:	0.338026156	HMGCR:	0.577852404	HMGCR:	0.833840984	HMGCR:	0.099267826
MVK:	0.011659353	MVK:	0.890020781	MVK:	0.018586594	MVK:	0.892393049	MVK:	0.669013078	MVK:	0.788926202	MVK:	0.416920492	MVK:	0.049633913
IKBKB:	0.695368604	IKBKB:	0.695368604	IKBKB:	0.695368604	IKBKB:	0.695368604	IKBKB:	0	IKBKB:	0	IKBKB:	0	IKBKB:	0
IKBKG:	0.200735625	IKBKG:	0.200735625	IKBKG:	0.200735625	IKBKG:	0.200735625	IKBKG:	0.5	IKBKG:	0.5	IKBKG:	0.5	IKBKG:	0.5
IQGAP1:	0.625	IQGAP1:	0.625	IQGAP1:	0.625	IQGAP1:	0.625	IQGAP1:	0	IQGAP1:	0	IQGAP1:	0	IQGAP1:	0
